"word_rank","word","frequency"
823,GROOM,7954
824,DROWN,7935
825,ALIKE,7933
826,DOUGH,7923
827,WRECK,7920
828,STINK,7891
829,HOMER,7887
830,BINGO,7807
831,BROAD,7798
832,STARE,7782
833,PUPPY,7764
834,TAXES,7741
835,SUITE,7680
836,ARROW,7670
837,SHAVE,7607
838,SIXTH,7566
839,ERROR,7563
840,SINGS,7535
841,REACT,7521
842,THEFT,7510
843,HARSH,7507
844,MEDAL,7498
845,DATED,7478
846,SWELL,7434
847,PEGGY,7431
848,FEAST,7431
849,BENCH,7419
850,SCOUT,7409
851,CLUBS,7379
852,DUNNO,7363
853,VAULT,7351
854,QUOTE,7348
855,PERRY,7325
856,SONIC,7293
857,ROMEO,7286
858,RUSTY,7276
859,FEARS,7266
860,HEELS,7238
861,CHESS,7234
862,CARGO,7217
863,SHOVE,7215
864,DINGS,7204
865,TAPES,7186
866,RISKS,7178
867,ITEMS,7171
868,RUMOR,7163
869,SKIRT,7161
870,LOSES,7142
871,SPIKE,7140
872,WIPED,7107
873,WHALE,7087
874,VILLA,7056
875,COMIC,7053
876,FAINT,7053
877,BLEED,7050
878,FACED,7028
879,CYCLE,7022
880,GOOSE,7019
881,SPOTS,7006
882,SWEEP,7003
883,RISKY,6984
884,DEALS,6971
885,BLANK,6956
886,TANKS,6821
887,MEETS,6803
888,NICKY,6777
889,DUMMY,6768
890,CLERK,6743
891,BOOBS,6711
892,PRIOR,6689
893,ORGAN,6680
894,OUTER,6677
895,ASSES,6677
896,FUNDS,6662
897,SPRAY,6639
898,NINJA,6637
899,HANDY,6634
900,CRAWL,6626
901,SLICE,6625
902,STIFF,6620
903,EUROS,6606
904,ROLLS,6601
905,CREEP,6594
906,BACKS,6569
907,WOODY,6543
908,HORNS,6541
909,DUDES,6536
910,DRAKE,6527
911,SCENT,6523
912,NAIVE,6522
913,JOLLY,6519
914,SWORE,6516
915,WINDS,6496
916,BONUS,6470
917,WRIST,6461
918,COINS,6459
919,DRAIN,6453
920,LASER,6438
921,BEERS,6435
922,THUMB,6429
923,ROOTS,6422
924,BLUES,6412
925,LOBBY,6408
926,CLUES,6370
927,DEBTS,6359
928,MATES,6354
929,MEALS,6318
930,ERICA,6304
931,DEALT,6298
932,HEARS,6292
933,FATAL,6284
934,ROAST,6269
935,CHAMP,6229
936,DIZZY,6217
937,BULLY,6215
938,PATTY,6204
939,PEDRO,6184
940,SPILL,6182
941,CURED,6180
942,SNACK,6163
943,CHEEK,6152
944,DITCH,6152
945,ROARS,6149
946,CHANG,6138
947,LOADS,6133
948,SPITE,6131
949,REBEL,6130
950,REPLY,6125
951,ORBIT,6124
952,INTEL,6106
953,SLAMS,6100
954,TALES,6080
955,GREET,6059
956,LIONS,6034
957,FORTY,6023
958,BRASS,6019
959,SWORN,6015
960,EMAIL,6010
961,TASTY,6008
962,LABEL,5982
963,EAGER,5966
964,WELLS,5955
965,REPAY,5951
966,LOGIC,5950
967,JEANS,5929
968,FRIES,5920
969,MINUS,5914
970,RULED,5893
971,COUGH,5883
972,DRUMS,5864
973,CLOTH,5852
974,SKIES,5846
975,GLOVE,5789
976,CORPS,5775
977,STARK,5756
978,PIPER,5744
979,SPERM,5741
980,CREEK,5700
981,SELLS,5691
982,READS,5680
983,SEEDS,5678
984,ARMOR,5648
985,CAKES,5632
986,ANKLE,5622
987,NICER,5618
988,WILLY,5613
989,DRAFT,5608
990,FANNY,5554
991,MESSY,5552
992,QUEST,5551
993,SPOON,5540
994,SWAMP,5516
995,DEPTH,5495
996,WAKES,5491
997,OCCUR,5488
998,STAMP,5478
999,TORCH,5474
1000,STALL,5456
1001,SHOPS,5453
1002,MINES,5448
1003,PANEL,5438
1004,SMACK,5434
1005,LOCKS,5422
1006,CHOIR,5413
1007,STUNT,5410
1008,HOBBY,5399
1009,HATCH,5398
1010,DOLLS,5385
1011,RUINS,5381
1012,SADLY,5380
1013,LOUIE,5375
1014,HORNY,5357
1015,MOANS,5321
1016,PICKS,5315
1017,PULLS,5299
1018,SHINY,5281
1019,HOWDY,5267
1020,TOXIC,5246
1021,SAKES,5241
1022,RALLY,5239
1023,BLOOM,5238
1024,CEASE,5233
1025,BRIBE,5227
1026,BURKE,5226
1027,LODGE,5209
1028,TRIPS,5200
1029,OLIVE,5193
1030,VENUS,5193
1031,BELLE,5182
1032,STRAW,5179
1033,REHAB,5172
1034,DINER,5167
1035,WEIGH,5157
1036,SWISS,5155
1037,TOPIC,5140
1038,PLEAD,5132
1039,RACES,5132
1040,BLOND,5132
1041,EXAMS,5116
1042,SPIES,5116
1043,KICKS,5105
1044,BARKS,5074
1045,KIDDO,5064
1046,CIGAR,5060
1047,SEIZE,5050
1048,STING,5035
1049,DEEDS,5015
1050,ATTIC,5014
1051,POLLY,5005
1052,BANDS,4998
1053,DRIED,4998
1054,AUNTY,4996
1055,MAKER,4996
1056,BRAKE,4994
1057,SCARF,4980
1058,MARSH,4974
1059,NAZIS,4969
1060,LORDS,4951
1061,TUMOR,4933
1062,GRAIN,4895
1063,PINKY,4886
1064,SITES,4884
1065,ROGUE,4876
1066,ERASE,4864
1067,CANAL,4845
1068,SHADE,4843
1069,HENCE,4836
1070,RIVAL,4823
1071,CRAFT,4812
1072,ELITE,4812
1073,CHART,4806
1074,SHELF,4806
1075,HANGS,4789
1076,SPARK,4765
1077,GLOBE,4762
1078,ADORE,4752
1079,BREED,4752
1080,PASTA,4750
1081,DELTA,4746
1082,HONKS,4744
1083,STOVE,4739
1084,CODES,4738
1085,MARGE,4719
1086,DISCO,4702
1087,DOLLY,4700
1088,GYPSY,4682
1089,BONDS,4681
1090,VEINS,4674
1091,RIDGE,4670
1092,RAZOR,4664
1093,RAINS,4662
1094,WALLY,4659
1095,TAILS,4633
1096,WIRES,4628
1097,PRANK,4618
1098,VIEWS,4612
1099,REALM,4610
1100,MONTY,4609
1101,MISSY,4608
1102,ALTAR,4600
1103,JELLY,4597
1104,HOGAN,4595
1105,CHOKE,4594
1106,PAINS,4593
1107,DONOR,4586
1108,COCKS,4584
1109,REFER,4580
1110,FAILS,4577
1111,PIPES,4559
1112,KARMA,4541
1113,LAYER,4501
1114,DEVON,4490
1115,DUCKS,4490
1116,ROPES,4487
1117,ADOPT,4473
1118,WORMS,4470
1119,MOSES,4469
1120,FROST,4455
1121,BUYER,4438
1122,BLUNT,4425
1123,PATHS,4415
1124,RIDES,4414
1125,YACHT,4408
1126,HUNCH,4408
1127,STAIN,4407
1128,HAIRY,4402
1129,METER,4395
1130,LEASE,4394
1131,LINED,4384
1132,GOALS,4374
1133,TEASE,4361
1134,BAKED,4359
1135,RIDER,4352
1136,STACK,4345
1137,WHEAT,4345
1138,FINCH,4341
1139,RISES,4329
1140,TEXTS,4322
1141,CHILI,4316
1142,UNTIE,4306
1143,PHONY,4298
1144,WHACK,4297
1145,NOISY,4284
1146,MASKS,4281
1147,WAGES,4280
1148,WAIST,4279
1149,CURRY,4271
1150,GRILL,4265
1151,FREED,4264
1152,POEMS,4263
1153,URINE,4261
1154,GEMMA,4248
1155,PINCH,4247
1156,SNAPS,4231
1157,MILLS,4224
1158,SHUTS,4213
1159,PARKS,4205
1160,DORIS,4193
1161,TOWNS,4164
1162,JOKER,4159
1163,PORCH,4148
1164,KNEEL,4146
1165,TAMMY,4141
1166,RAPID,4140
1167,SHAFT,4133
1168,SUSHI,4133
1169,SETUP,4127
1170,GREED,4123
1171,DARED,4122
1172,SPINE,4115
1173,SALON,4108
1174,ASSET,4096
1175,TRAPS,4094
1176,SHOOK,4087
1177,NAVAL,4086
1178,PEACH,4083
1179,SWINE,4083
1180,CROOK,4072
1181,GRASP,4071
1182,REIGN,4062
1183,STASH,4061
1184,JEWEL,4045
1185,SWEPT,4043
1186,FERRY,4034
1187,URBAN,4019
1188,GENES,4014
1189,BITES,4008
1190,WIRED,3981
1191,COMET,3980
1192,WAITS,3977
1193,VOMIT,3972
1194,SCARS,3962
1195,DRIFT,3943
1196,LASTS,3938
1197,AISLE,3933
1198,LACEY,3924
1199,RAVEN,3913
1200,QUEER,3906
1201,TRUMP,3904
1202,SPICY,3897
1203,SHEER,3893
1204,BLINK,3893
1205,STEER,3892
1206,MALES,3891
1207,CAMPS,3886
1208,DODGE,3864
1209,UNITE,3860
1210,CAMEL,3822
1211,PROBE,3816
1212,ACRES,3803
1213,STRAY,3796
1214,RABBI,3791
1215,NOTED,3786
1216,TRAMP,3769
1217,ARENA,3763
1218,AUDIO,3760
1219,STEED,3754
1220,PAUSE,3750
1221,PIGGY,3750
1222,PAIRS,3735
1223,SCRAP,3730
1224,PSYCH,3718
1225,RANKS,3718
1226,BOOTY,3716
1227,FATTY,3707
1228,ONION,3699
1229,SENOR,3695
1230,SPICE,3685
1231,FOODS,3684
1232,GRUNT,3681
1233,HAIRS,3680
1234,KILOS,3673
1235,MONKS,3672
1236,ELBOW,3668
1237,ALTER,3663
1238,MOMMA,3656
1239,AGONY,3642
1240,SHACK,3634
1241,SCRUB,3633
1242,RULER,3631
1243,SAVES,3628
1244,DUSTY,3617
1245,UTTER,3611
1246,EXILE,3605
1247,DRONE,3600
1248,TANGO,3595
1249,SWIFT,3583
1250,TOKEN,3580
1251,NINTH,3578
1252,SCOOP,3569
1253,SPEAR,3554
1254,BANGS,3545
1255,COLBY,3538
1256,BOXER,3537
1257,YUMMY,3515
1258,SLACK,3515
1259,BLEND,3498
1260,FRITZ,3492
1261,BRENT,3489
1262,COOKS,3488
1263,JUMPS,3484
1264,SNUCK,3481
1265,DWARF,3477
1266,GANGS,3473
1267,BOOST,3472
1268,FEEDS,3459
1269,TIMER,3456
1270,SHIVA,3451
1271,METRO,3445
1272,POPPY,3445
1273,RATES,3439
